"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"4712","mrs","Tape","Maragus; Maragaus; Mallicolo;","Critically Endangered (100 percent certain, based on the evidence available)","10-15","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.0746, 167.415"
"2921","tpj","Tapiete","Chiriguano, Ava, Simba, Chané, Izoceño [Isosó, Izozó],","Endangered (20 percent certain, based on the evidence available)","207","Tupian; Tupi-Guaranian; Guaranian","Apapocuva;","","There is considerable confusion about different Guaranían languages and varieties, several of which are sometimes called ""Ñandeva (Nhandeva) as at least one of their alternate names. It is sometimes difficult to determine from reports which are the same with varying names and which are different with the same name. 
For cases involving overlapping names, Rodrigues and Cabral (2012:498) have among several others in their Guaraní Branch of Tupían: 
Kaiwá (Kayowá, Kaiowá, Caiová, Caiguá, Pãi, Pãi-Tavyterã) Brazil, Paraguay
Nhandéva (Ñandeva, Chiripá) Brazil, Paraguay
Chiriguano (Ava, Simba) Argentina, Bolivia, Paraguay 
Tapiete  Bolivia (Argentina)

Ethnologue has: 
Kaiwá [kgk] (Caingua, Caiua, Caiwa, Cayua, Kaiova, Kaiowá, Kayova)
Ava Guaraní [nhd] (Apytare, Ava, Chiripá, Tsiripá, Txiripá)
Pai Tavytera [pta] (Ava, Pai, Tavytera)
Ñandeva [tpj] (Guasurango, Guasurangue, Ñanagua, Nandeva, Tapiete, Tirumbae, Yanaigua)

Ethnologue calls this language Ñandeva [tpj] (Guasurango, Guasurangue, Ñanagua, Nandeva, Tapiete, Tirumbae, Yanaigua); it may include varieties or languages others align not with this language but with others).

Dietrich (2007) considers the Chiriguano group to be composed of various dialects, with Tapiete a separate but very closely related language. Simba, Chané, and Izoceño are subdialects of Ava; the Chané are the modern decendants of Izoceño.","Argentina;Bolivia;Paraguay;","South America","-19.75, -61.6666666667"
"2168","taf","Tapirapé","Tapi'irape","Endangered (20 percent certain, based on the evidence available)","564","Tupian; Tupi-Guaranian; Teneteharan","","","","Brazil;","South America","-10.6606,-50.4602"
"3453","tar, thh, tcu, twr, tac","Tarahumara","Tarahumara, Southwestern; Tarahumara del Suroeste; Tubare; Taraumara; Tarahumara; South-western; Vorohio; Rocoroibo;","Vulnerable (20 percent certain, based on the evidence available)","85,018","Uto-Aztecan; Southern Uto-Aztecan; Tarahumaran","Western; Central; Southwestern; Northern; Southeastern;","","Ethnologue distinguishes 5 Tarahumara languages: Tarahumara, Central  [tar] 
Tarahumara, Northern  [thh] Tarahumara, Southeastern  [tcu] 
Tarahumara, Southwestern  [twr] 
Tarahumara, Western  [tac]. INALI also has 5 ""variantes"" of Tarahumara. 
","Mexico;","Mexico, Central America, Caribbean","28.61, -107.66; 26.73, -106.71; 27.46, -107.85; 27.03, -107.58; 27.56, -107.15"
"3504","tro","Tarao Naga","Tarao; Tarau; Taraotrong; Naga (Tarao); Naga, Tarao","Endangered (20 percent certain, based on the evidence available)","870","Sino-Tibetan; Kukish","","","","India;","South Asia","24.25,94.1666666667"
"2167","tae","Tariana","Tariano; Tarîna; Taliáseri;
","Critically Endangered (80 percent certain, based on the evidence available)","90","Arawakan; Northern Arawakan; Upper Amazon","Kumandene; Wamiarikune","","""The two dialects are highly endangered, and barely mutually intelligible"" (Aikhenvald 2016:299).","Brazil;Colombia;","South America","1.0,-69.1666666667"
"2790","tpf","Tarpia","Tarfia; Sufrai;","Endangered (40 percent certain, based on the evidence available)","564","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","","Indonesia;","Southeast Asia","-2.38, 139.97"
"6969","tdm","Taruma","Aroaqui; Taruamá;","Critically Endangered (80 percent certain, based on the evidence available)","A few","Isolate; South American","","","There is a family of speakers in a community near Lethem in Guyana (Willem Adelaar, personal communication).","Brazil;Guyana;","South America","2.515, -59.5678"
"5005","twq","Tasawaq","Ingelshi; Tasawa","Threatened (20 percent certain, based on the evidence available)","2,000-10,000","Songhay","","","","Niger;","Africa","16.785806, 6.930974"
"3530","tmt","Tasmate","Meri; Oa","Endangered (20 percent certain, based on the evidence available)","300","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.101933,166.649933"
"2166","tav","Tatuyo","Oa; Tatuyo; Pamoa; Tatutapuyo; Juna; Tatu-tapuya; Karapaná; Karapano; Carapana-Tapuya; Mochda; Moxdoa; Mextã;","Endangered (20 percent certain, based on the evidence available)","331","Tucanoan; Eastern Tucanoan","","","Part of Carapano (Karapaná, Karapano, Carapana-Tapuya, Tatuyo, Mochda, Moxdoa, Mextã). Ethnologue considers Tatuyo as separate languages of the ""East Central"" branch of ""Eastern Tukanoan.""","Colombia;","South America","0.416666666667,-70.5"
"2691","tuh","Taulil","Butam; Neu-Pommern;","Endangered (20 percent certain, based on the evidence available)","800","East New Britain; Taulili","Butam; Taulil;","","","Papua New Guinea;","Pacific","-4.41666666667,152.083333333"
"10757","dgw","Taungurung ","Daungwurrung; Daung Wurrung; Dhagung-wurrung; Taungurong; Thagawurung","Awakening ()","","Pama-Nyungan, Kulin","","Some researchers consider Taungurung to be a dialect of Woiwurrung.","","Australia;","Australia","-36.966911, 145.420664"
"2791","tad","Tause","Doa; Darha;","Endangered (20 percent certain, based on the evidence available)","300","Lakes Plain","Weirate; Tause; Deirate;","","","Indonesia;","Southeast Asia","-2.8744,136.2469"
"2163","trr","Taushiro","Pinche; Pinchi;","Critically Endangered (20 percent certain, based on the evidence available)","1","Isolate; South American","","","","Peru;","South America","-3.25,-75.5"
"1411","tbp","Taworta","Dabra; Taworta-Aero; Taria; Bok;","Endangered (20 percent certain, based on the evidence available)","140","Lakes Plain","","","","Indonesia;","Southeast Asia","-3.2776,138.7902"
"3525","tnu","Tay Khang","","Endangered (20 percent certain, based on the evidence available)","200","Tai-Kadai; Kam-Tai; Be-Tai; Tai","","","","Laos;","Southeast Asia","18.66, 104.37"
"5180","1ho","Tazhi","","Endangered (20 percent certain, based on the evidence available)","","Sino-Tibetan; Lolo-Burmese","","","","China;","East Asia",""
"286","grr","Taznatit","Zenati; Zenatia; Znatiya; Zenete; Shilha; Garawa;","Vulnerable (20 percent certain, based on the evidence available)","40,000","Afro-Asiatic; Berber","Gourara; Touat;","","","Algeria;","Africa","29.3413, .3955"
"1447","tht","Tāłtān (Tahltan)","Nahanni; Tahltan; Tahl-tan","Critically Endangered (80 percent certain, based on the evidence available)","43","Athabaskan-Eyak-Tlingit; Athabaskan;","","","","Canada;","North America","57.8700000, -130.0400000"
"5107","tck","Tchitchege","","Threatened (20 percent certain, based on the evidence available)","2,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Gabon;","Africa","-1.8508, 13.612"
"301","bqa","Tchumbuli","Basa; Tshummbuli; Chombulon; Tchombolo;","Severely Endangered (80 percent certain, based on the evidence available)","1,838","Niger-Congo; Atlantic-Congo; Kwa","Cobecha; Tchumbuli;","","","Benin;","Africa",""
"2792","tve","Te'un","","Threatened (20 percent certain, based on the evidence available)","1,200","Austronesian; Malayo-Polynesian; Timor","","","","Indonesia;","Southeast Asia","-6.9809,129.1394"
"2453","tkw","Teanu","Buma; Puma;","Severely Endangered (20 percent certain, based on the evidence available)","","Austronesian; Malayo-Polynesian; Oceanic; Temotu","","","","Solomon Islands;","Pacific","-11.6333333333,166.833333333"
"7192","tsy","Tebul Sign Language","","Endangered (20 percent certain, based on the evidence available)","500","Sign Language; African","","","Possibly a variety of Malian Sign Language (LSM)","Mali;","Africa","14.577499,-3.082291"
"8735","dtu","Tebul Ure","Oru Yille; Tew Tegu;","Vulnerable (60 percent certain, based on the evidence available)","3,000-4,000","Niger-Congo; Dogon; North Plateau","","","","Mali;","Africa",""
"3496","ttc","Teco","Teko; Tectiteco; Tectitec; Tectitán Mam; Maya-Tekiteko; Tektiteko;","Threatened (20 percent certain, based on the evidence available)","5,900","Mayan; Mamean","","","","Guatemala;Mexico;","Mexico, Central America, Caribbean","15.4166666667,-92.0833333333"
"4831","tuq","Tedaga","Teda; Toda; Todaga; Todga; Tuda; Tudaga; Tubu; Tebu; Tebou; Tibbu; Toubou; Tū-bu; Tib-bo;","Vulnerable (20 percent certain, based on the evidence available)","42,500","Saharan; Tebu","Kecherda;","","","Nigeria;Niger;Chad;Libya;","Africa","16.0, 15.0"
"5093","tfo","Tefaro","Demba;","Endangered (20 percent certain, based on the evidence available)","100","East Geelvink Bay","","","","Indonesia;","Southeast Asia","-2.35, 136.75"
"182","ras","Tegali","Orig; Tagale; Tegele; Tekele; Togole;","Vulnerable (20 percent certain, based on the evidence available)","35,700","Niger-Congo; Rashad","Gom; Tegali; Umale;","","Tegali may be considered a dialect cluster within the Rashad family. (Blench n.d.)","Sudan;","Africa","12.060869, 31.560233"
"2160","teh","Tehuelche","Tehuelche; Aoniken; Aonek'enk; Inaquen; Patagón; Aonek'enk; Chon; Gununa-Kena; Gününa Küna; Inaquean; Tsoneka; Tewelche","Critically Endangered (20 percent certain, based on the evidence available)","1-2","Chonan; Continental Chonan","","","","Argentina;","South America","-48.0, -68.0"
"2087","twe","Teiwa","Tewa","Endangered (100 percent certain, based on the evidence available)","4,000","Timor-Alor-Pantar","Lebang; Deing; Madar;","","","Indonesia;","Southeast Asia","-8.267, 124.207"
"3114","ztt","Tejalapan Zapotec","Zapoteco de San Felipe Tejalapan, Zapoteco de Tejalápam","Endangered (20 percent certain, based on the evidence available)","120","Otomanguean; Zapotecan","","","Ethnologue lists 57 Zapotec languages. INALI gives 62 ""variantes"" of Zapoteco. The exact number of distinct languages that need to be recognized is unclear. For most linguists the number is much lower, between 4 and 10.","Mexico;","Mexico, Central America, Caribbean","17.1099,-96.8539"
"10675","tlf","Telefol","Eripataman; Teleefool; Telefool; Telefolmin; Telefomin","Threatened (20 percent certain, based on the evidence available)","4,500","Telefol","Trans-New Guinea; Ok; Mountain Ok","","","Papua New Guinea;","Pacific","-5.07, 141.73"
"2158","tqb","Tembé","Tenetehára; Tenetehára; Timbé;","Severely Endangered (20 percent certain, based on the evidence available)","60","Tupian; Tupi-Guaranian; Teneteharan","Pindare; Mearim; Tembe of Gurupi; Zutiua;","","","Brazil;","South America","-2.6467,-46.7248"
"5095","teq","Temein","Temainian; Rone; Ronge;","Vulnerable (20 percent certain, based on the evidence available)","13,000","Temein","","","","Sudan;","Africa","11.9166666667, 29.4166666667"
"5100","tea","Temiar","Temer; Northern Sakai; Seroq; Pie; Sakai; Nord Sakai","Vulnerable (40 percent certain, based on the evidence available)","","Austro-Asiatic; Aslian; Central Aslian","Tanjong Rambutan; Ulu Kinta; Kenderong; Sakai of Plus Korbu; Kenering; Lanoh Kobak; Sungai Piah; Tembe'; Grik; Po-Klo","","","Malaysia;","Southeast Asia","5.0,101.5"
"3532","tmo","Temoq","Ulu Indau;","Endangered (20 percent certain, based on the evidence available)","~300","Austro-Asiatic; Aslian; South Aslian","","","","Malaysia;","Southeast Asia","2.867,102.837"
"3528","tmw","Temuan","Benua; Niap; Beduanda; ","Threatened (20 percent certain, based on the evidence available)","8,000","Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic","Temuan; Beduanda; Belanda; Berembun; Udai; Mantra;","","","Malaysia;","Southeast Asia","3.3709,101.984"
"2155","pah","Tenharín","Tenharim; Tenharem; Tenharin; Tenharín; Parintintin;","Endangered (20 percent certain, based on the evidence available)","350","Tupian; Tupi-Guaranian","","","The Kawahíwa people started moving to Rondônia from Mato-Grosso, by the second half of the 18th century, and they definitively started separating from each other. The Parintintín, Tenharin and Djiahúj (Diahói) were one group at that time, and then they split in three different groups. Their languages are still very close, but their own feeling is that they speak different languages although they are intelligible. There are also lexical differences, different idioms, and morphosyntactic differences as well. And they are also differentiated culturally from each other in some aspects. Tenharin is the only language that is still spoken as the main language of communication by old people, and by some young people as well. (Personal communication, Ana Suelly Arruda Câmara Cabral, 2016.)","Brazil;","South America","-8.4071,-61.1499"
"2693","tns","Tenis","Tench;","Severely Endangered (20 percent certain, based on the evidence available)","30","Austronesian; Malayo-Polynesian; Oceanic; St. Matthias","","","","Papua New Guinea;","Pacific","-1.6394,150.6939"
"5060","tex","Tennet","Tenet;","Threatened (40 percent certain, based on the evidence available)","4,000-10,000","Surmic; Southwest Surmic","","","","South Sudan;","Africa","4.41666666667, 32.5"
"2489","tio","Teop","","Threatened (20 percent certain, based on the evidence available)","5,000","Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian ","Wainanana; Petspets; Losiara; Melilup; Taunita;","","","Papua New Guinea;","Pacific","-5.66666666667,155.0"
"3665","ash","Tequiraca","Tekiraka; Aushiri; Auishiri; Avishiri; Avixiri; Abiquira; Abishira; Abigira; Agouisiri; Ixignor; Vacacocha; Avirxiri; Tequraca


","Dormant ()","0","Isolate; South American","","","","Peru;","South America","-2.0869,-74.5092"
"3566","sjt","Ter Saami","Ter Sami; Kola Saami; Eastern Saami; йоканьгско-саамский язык; терско-саамский язык; turjansaame; saa´mekiill; Darjjesámegiella; ""Ter Lappish""; ","Severely Endangered (80 percent certain, based on the evidence available)","30","Uralic; Saami","Yokanga","","","Russia;","Caucasus;Europe;East Asia","67.414348, 39.130051"
"3508","trb","Terebu","Terepu; Turupu; Turubu;","Endangered (20 percent certain, based on the evidence available)","130","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","","Papua New Guinea;","Pacific","-3.69, 143.84"
"2154","ter","Terena","Tereno; Etelena; Terêna; Guaná; Chané; Kinikinao;","Vulnerable (20 percent certain, based on the evidence available)","8,439","Arawakan; Southern Arawakan; Southern Outlier","Guaná; Kinikanao; Etelena; Chané;","","","Brazil;","South America","-20.0,-56.0"
"5098","tef","Teressa","Taih-Long; Teressa-Bompoka; Təih-lɔng; Luro; Pauhut; Powahat","Threatened (20 percent certain, based on the evidence available)","2,080","Austro-Asiatic; Nicobarese","Bompoka","","","India;","South Asia","7.915,93.3837"
"5092","tfr","Teribe","Tiribí; Tirub; Terraba; Naso; Tirribi; Norteño; Quequexque; Tiribi;","","","Chibchan; Isthmic","","""The consensus among Teribe speakers is that the name “Teribe” originated when the Spanish explorers came up what is now known as the Teribe River and asked what this place was. The Teribes answered, tjer di, which means, ‘river of the Grandmother’. (The Grandmother was the protective spirit who controlled that area and to whom the Teribes went for help and healing.) The Spaniards corrupted that into Teribe and the name stuck (to the river and the people). The Teribes refer to themselves and their language as Naso which has come to mean ‘Indian, native’ but which probably derives from the two words na ‘here’ and so, sogo ‘owner’ to mean ‘the owners of this place’"" (Oakes 2001:3)","""The language known as Térraba or Brorán in Costa Rica is an almost-extinct dialect of Teribe with five elderly living speakers as of 1991 (Grimes 1996:60). According to Teribes who have conversed with these Térraba speakers, the two dialects are easily mutually intelligible."" (Oakes 2001:3)","Costa Rica;Panama;","Mexico, Central America, Caribbean","9.33333333333,-82.6666666667"
"10787","tft","Ternate","","Threatened (100 percent certain, based on the evidence available)","42,000","North Halmaheran","","","Not to be confused with Ternate Malay. Linguistically similar to neighboring Tidore, though considered by speakers to be a distinct language. ","Indonesia;","Southeast Asia","0.783333, 127.366667"
"4364","keg","Tese","Teis-Umm-Danab; Keiga Jirru; Keiga Girru; Dese; Teis-um-Danab;","Threatened (20 percent certain, based on the evidence available)","1,400","Temein","","","","Sudan;","Africa","11.2161, 29.8471"
"2151","teb","Teteté","Eteteguaje; Tetete;","Dormant ()","Ø","Tucanoan; Western Tucanoan","","","Possibly a dialect of Siona-Secoya. Report as similar to Secoya, but intelligible only with difficulty.","Ecuador;","South America","-.0109,-76.5966"
"8509","1nl","Tetserret","","Severely Endangered (100 percent certain, based on the evidence available)","<2,000","Afro-Asiatic; Berber","","","","Niger;","Africa","15.406024, 6.269760"
"2150","0qk","Teushen","Tehuesh; Patagón; Teuéx; Teuesh; Teuesen; Chon;","Dormant ()","0","Chonan; Continental Chonan","","","","Argentina;","South America","-44,-69"
"5881","tew","Tewa","","Endangered (100 percent certain, based on the evidence available)","1,500","Kiowa-Tanoan; Tanoan","Hano (Arizona Tewa), San Juan, Nambe, Pojoaque, Santa Clara, San Ildefonso, Tesuque,","","","USA;","North America","36.0833333333,-106.083333333"
"5285","poq","Texistepec","Popoluca de Texistepec; Texistepec Zoque; Popoluca, Texistepec; Texistepequeño;","Critically Endangered (20 percent certain, based on the evidence available)","1","Mixe-Zoquean; Zoquean","","","","Mexico;","Mexico, Central America, Caribbean","17.89, -94.81"
"10952","texm1235","Texmelucan Zapotec","Texmelucan Papabuco","","","Otomanguean; Zapotecan; Papabuco","","1 of approximately 3 Papabuco languages.","","Mexico;","Mexico, Central America, Caribbean",""
"10536","miu, mxb","Tezoatlan Mixtec","Cacaloxtepec Mixtec; Huajuapan Mixtec; Mixteco de Cacaloxtepec; Tezoatlán Mixtec; Mixteco de Tezoatlán de Segura y Luna","Threatened (20 percent certain, based on the evidence available)","5,540","Otomanguean; Mixtecan","Mixteco del Noroeste Central Alto; Mixteco del Noroeste Central Bajo; Mixteco del Noroeste Medio?; Mixteco del Oeste Alto?","","Note on Mixtec languages: The system of classification adopted here follows the most detailed linguistic survey of Mixtec languages yet undertaken (Josserand 1983).  While other sources, such as Ethnologue (18th edition), may include as many as 52 varieties of ""Mixtec"", the Catalogue of Endangered Languages identifies 12 distinct Mixtec languages.","Mexico;","Mexico, Central America, Caribbean","17.64, -97.81"
"4837","thy","Tha","Joole Manga; Kapawa; Joole Marga;","Threatened (20 percent certain, based on the evidence available)","1,000","Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur","","","","Nigeria;","Africa","9.176669, 11.170143"
"5702","tcz","Thado Chin","Thado; Thadou; Thado-Ubiphei; Thado-Pao; Kuki; Kuki-Thado; Thaadou Kuki; Chin (Thado); Chin, Thado; Thādo-pao; သာဒိုး ချင်း","Severely Endangered (20 percent certain, based on the evidence available)","unknown","Sino-Tibetan; Kukish","Thangngen; Hawkip; Sairang; Shithlou; Kaokeep; Singson; Changsen; Khongzai; Kipgen; Langiung; Baite; Jangshen","","","India;Myanmar;","South Asia;Southeast Asia","24.4166666667,93.9166666667"
"1222","soa","Thai Song","Song; Thai Song Dam; Lao Song; Lao Song Dam; ลาวโซ่ง; ลาวโซ่งดำ","Vulnerable (20 percent certain, based on the evidence available)","32,300","Tai-Kadai; Kam-Tai; Be-Tai; Tai; Southwest-Central Tai; Southwestern Tai","","","This is Song (soa) in the Tai-Kadai language family, different from Song (1l3) in the Mon-Khmer language family though both are spoken in Thailand.","Thailand;","Southeast Asia","13.228214,99.852433"
"5703","ths","Thakali","Tapaang; Thaksya; Panchgaunle; Thāksya","Threatened (20 percent certain, based on the evidence available)","7,113","Sino-Tibetan; Tamangic","Syang; Tukche; Marpha","","","Nepal;","South Asia","29.0,83.75"
"4077","dhl","Thalanyji","Dalandji; Dalendi; Djalendi; Dalaindji; Dalangi; Talandji; Talanji; Talanjee; Talaindji; Talainji; Tallainji; Tal-lainga; Tallainga; Talandi; Talangee; Taloinga;  Thalantji; Inikurdira; Jinigudira; Jinigudera; Jinigura; Jiniguri; Jarungura; Talandji-Buduna; Taliandji;Dhalandji;","Critically Endangered (20 percent certain, based on the evidence available)","A few","Pama-Nyungan; Kanyara","","","","Australia;","Australia","-22.847071,113.816528; -21.867234,114.132729; -22.631758,116.333771"
"5646","nki","Thangal Naga","Khoirao; Khoirao Naga; Koirao; Kolya; Mayangkhang; Miyang-Khang; Ngari; Thangal; Thanggal; Tukaimi; Miyāng Khāng; Liyāng; Naga, Thangal","Vulnerable (20 percent certain, based on the evidence available)","<23,600","Sino-Tibetan; Zemeic","","","","India;","South Asia","25.2198,94.1583"
"4838","thf","Thangmi","Thami; Dolakha; Thāmī","Threatened (100 percent certain, based on the evidence available)","18991","Sino-Tibetan; Newaric","Dolakhā; Sindhupālcok","","","India;Nepal;","South Asia","27.52, 86.07; 27.47, 86.05; 27.42, 85.57; 27.44, 85.57; 27.31, 86.58; 27.48, 85.48 "
"2452","ssf","Thao","Sau; Sao; Shao; Chuihwan; Chui-Huan; Suihwan; Vulung; Sprache von Formosa; 邵語","Critically Endangered (100 percent certain, based on the evidence available)","4","Austronesian; Western Plains","Brawbaw; Shtafari;","","","Taiwan;","East Asia",""
"4078","dhr","Tharrkari","Targari; Dal'gari; Tarkarri; Thargari; Tharrgari;  Tarugari; Dargari; Tarkari; Dalgari; Tarl-garri;Dhargari;","Critically Endangered (20 percent certain, based on the evidence available)","~2","Pama-Nyungan; Mantharta","","","","Australia;","Australia","-24.322071, 114.817200"
"1214","thm","Thavung","Aheu; Phon Soung; So; Sotawueng; Kha Tong Luang; Phonsung; So Thavung; Ahlao; Phonesoung; Kha; Tong-luang; Kha Tong Luong; Phi Taung Luang; Ka Tawng Luang; Sach; Tac-cui; Ahao","Severely Endangered (40 percent certain, based on the evidence available)","~450","Austro-Asiatic; Vietic; Pong-Chut","","","","Thailand;Laos;","Southeast Asia","17.3168,103.5142"
"6798","iin","Thiinma","Thiin; Te:n; Teen; Deen; Deenma; Denma; Dhiyin; Dhiyinma; Teenma; Tenma; Thenma; ","Critically Endangered (60 percent certain, based on the evidence available)","1","Pama-Nyungan; Mantharta","","","","Australia;","Australia","-23.644524,116.672973"
"10804","","Tholp","Nethalp","Dormant ()","0","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.243010,167.134045;"
"3447","tyl","Thu Lao","","Endangered (20 percent certain, based on the evidence available)","200","Tai-Kadai; Kam-Tai; Be-Tai; Tai; Southwest-Central Tai; Central Tai; Tay","","","","Vietnam;","Southeast Asia",""
"5101","tdh","Thulung","Rai; Thulunge Rai; Thulu Luwa; Thululoa; Thulung La; Tholong Lo; Thulung Jemu; Toaku Lwa","Severely Endangered (100 percent certain, based on the evidence available)","~1000","Sino-Tibetan; Kiranti","Eastern Thulung; Southern Thulung; Central Thulung; Northern Thulung; Lannachyo","","","India;Nepal;","South Asia","27.4166666667,86.5"
"5704","ctd","Tiddim Chin","Chin, Tedim; Tedim; Tiddim; Chin (Tiddim); Chin (Tedim); Kamhau; တီးတိန်ချင်း","At risk (20 percent certain, based on the evidence available)",">100,000","Sino-Tibetan; Kukish","Sokte; Kamhau","","","India;Myanmar;","South Asia;Southeast Asia","23.3333333333,93.6666666667"
"4836","tia","Tidikelt Tamazight","Tidikelt; Tamazight; Tidikelt Berber;","Threatened (20 percent certain, based on the evidence available)","9,000","Afro-Asiatic; Berber","Tit; Tidikelt;","","","Algeria;","Africa","26.8828, 2.5488"
"10935","tvo","Tidore","","Threatened (100 percent certain, based on the evidence available)","44000","North Halmaheran","","Language primarily spoken on the island of Tidore of the coast of Halmahera in North Maluku, Indonesia. Closely related to Ternate. Formerly spoken more widely under the influence of the Tidore sultanate. ","","Indonesia;","Southeast Asia","0.683333,127.4"
"3818","tiq","Tiéfo","Foro; Tyefo; Tyeforo; Kiefo; Tiefo","Endangered (100 percent certain, based on the evidence available)","~1,000","Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur","Noumoudara-Koumoudara; Dramandougou-Nyarafo;","","","Burkina Faso;","Africa",""
"10677","tif","Tifal","Tifalmin","Threatened (20 percent certain, based on the evidence available)","2,800","Trans-New Guinea; Ok; Mountain Ok","","","","Papua New Guinea;","Pacific","-5.04, 141.29"
"9129","txq","Tii","Rote; Roti; Rotinese; Rote Barat; Western Rote; Thie; Ti","Vulnerable (20 percent certain, based on the evidence available)","20,000","Austronesian; Malayo-Polynesian; Timor","","","","Indonesia;","Southeast Asia","-10.84, 122.96"
"2148","tca","Tikuna","Ticuna; Tucuna; Tukuna; Tukúna; Magüta;","Vulnerable (20 percent certain, based on the evidence available)","50,102","Tikuna-Yurí","","","","Brazil;Peru;Colombia;","South America","-4.0,-70.5"
"4936","otl","Tilapa Otomí","Otomí; Othomí; Otomi, Tilapa; Otomi;","Endangered (20 percent certain, based on the evidence available)","400","Otomanguean; Otopamean","Ixtenco Otomí; Tilapa Otomí; Jalisco Otomí; Western Otomí; Northeast Otomí; Northwestern Otomí;","","Ethnologue has 9 Otomí languages:
Otomi, Eastern Highland  [otm] 
Otomi, Estado de México  [ots] 
Otomi, Ixtenco  [otz] 
Otomi, Mezquital  [ote] 
Otomi, Querétaro  [otq] 
Otomi, Temoaya  [ott] 
Otomi, Tenango  [otn] 
Otomi, Texcatepec  [otx 
Otomi, Tilapa  [otl].
INALI also has 9 ""variantes"" of Otomí. 
","Mexico;","Mexico, Central America, Caribbean","18.8923,-99.2986"
"4834","tij","Tilung","Tiling; Tilling; Tilung Blama","Critically Endangered (100 percent certain, based on the evidence available)","7","Sino-Tibetan; Kiranti","Dorunkecha; Choskule","","","Nepal;","South Asia","27.1501,86.5077"
"1439","tms","Tima","Lomorik; Lomuriki; Tamanik; Yibwa; Domurik;","Threatened (20 percent certain, based on the evidence available)","<5,000","Niger-Congo; Katla-Tima","","","","Sudan;","Africa","11.6666666667, 29.25"
"4483","lbf","Tinani","Gondhla; Gondla; Lahauli; Lahouli; Lahuli; Rangloi; Teenan; Tinan Lahuli","Threatened (20 percent certain, based on the evidence available)","","Sino-Tibetan; Tibeto-Kanauri","","","","India;China;","South Asia;East Asia","32.3333333333,77.1666666667"
"3039","tin","Tindi","Tindal; Tindin; тиндийский язык; тиндальский язык; идеринский язык; идаринский язык; идараб мицци; Idarab mittsi; ","Threatened (20 percent certain, based on the evidence available)","4,000-6,000","Northeast Caucasian; Daghestanian; Andic","","The Tindi language belongs to the Andi subgroup of the northwestern group of Dagestan languages (Avar-Ando-Dido). Tindis call their language Idarab mitstsi -- 'the language of the Idar village'. It is closely related to the languages of Chamalal and Bagulal. Two dialects, Tindi and Angida-Aknada, can be distinguished. (The Red Book of the Peoples of the Russian Empire)","","Russia;","Caucasus;Europe;East Asia","42.3666666667,46.25"
"2146","tit","Tinigua","Tiniguan; Tiniwa; Tiniguas; Timigua;","Critically Endangered (20 percent certain, based on the evidence available)","1?","Tiniguan","","","","Colombia;","South America","2.3833,-73.6413"
"2153","dih-tip","Tipai","Tiipay (Jamul); Mexican Diegueño; Kamia;","Severely Endangered (20 percent certain, based on the evidence available)","~100","Cochimi-Yuman; Yuman","Ha'a; San Jose de la Zorra; Neji; Cuyapaipe; Manzanita; La Huerta; San José; Jamul;","","Emergent language in the  Diegueño complex of Yuman dialects.","USA;Mexico;","North America;Mexico, Central America, Caribbean","32.6049,-116.4678; 32,-116.1166"
"3509","tra","Tirahi","Tirāhī; Dardu;","Dormant ()","0","Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone","","","","Afghanistan;","Near East","34.3139,70.3729"
"8738","tde","Tiranige Diga","Tiranige; Duleri; Duleri Dom; Tiranige Diga Dogon","Threatened (20 percent certain, based on the evidence available)","4,200","Niger-Congo; Dogon; West Dogon","","","","Mali;","Africa","15, -3"
"10817","mme","Tirax","Mae, Dirak","Endangered (20 percent certain, based on the evidence available)","1000","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.011314,167.264440;"
"4480","lax","Tiwa","Lalung; Dowyan","Vulnerable (20 percent certain, based on the evidence available)","27072","Sino-Tibetan; Brahmaputran","","","","India;","South Asia","25.7801,92.5927"
"2574","tiw","Tiwi","Tunuvivi; Diwi; Wonga:k; Wongak; Wunuk; Ni-mara; Woranguwe;","Threatened (20 percent certain, based on the evidence available)","1,500","Isolate","","","","Australia;","Australia","-11.6788294, 130.8353696"
"5560","0gq","Tjungundji","","Severely Endangered (20 percent certain, based on the evidence available)","10","Pama-Nyungan; Paman","","","","Australia;","Australia",""
"7069","1kp","Tjupany","Tjupany;","Severely Endangered (20 percent certain, based on the evidence available)","10","Pama-Nyungan; Wati","","","","Australia;","Australia",""
